*****Rover GA expirement*****
Date:2017-06-19 22:07:24.955781
Population size:40
Generation Count:30
Mutation Probability:0.2
Cross Over Probability:0.35
*****************************
Generation, ID, Max Turn Strength, Max Yaw Change per CB, Num Vision Cones, Sweep Weight Factor, Distance Weight Factor, Fitness
2, 103, 157, 29, 19, 1.22405774715, 0.354559972104, 95.38
2, 104, 176, 42, 3, 4.73726200842, 0.0669949113956, inf
2, 105, 176, 42, 3, 4.73726200842, 0.670440986197, 100.755
2, 106, 157, 29, 19, 4.60638341756, 4.85172367345, 94.29
2, 107, 74, 94, 61, 4.12696434315, 2.03052808403, inf
2, 108, 169, 69, 61, 0.104286100839, 0.411426067434, 91.4875
2, 109, 253, 46, 3, 2.13044968679, 2.39120777035, 103.185
2, 110, 351, 5, 75, 4.2667990087, 2.47458939196, inf
2, 111, 206, 81, 23, 1.89897051878, 0.541287299842, 93.37
2, 112, 179, 81, 23, 1.89897051878, 0.541287299842, 93.215
2, 113, 378, 52, 37, 4.07261575665, 1.83343826993, inf
2, 114, 356, 79, 41, 1.55216645775, 2.01770805841, inf
2, 115, 169, 69, 61, 0.104286100839, 0.411426067434, 89.9825
2, 116, 108, 21, 15, 4.60638341756, 4.85172367345, inf
2, 117, 176, 42, 3, 4.73726200842, 0.670440986197, 108.8775
3, 82, 169, 69, 61, 0.104286100839, 0.411426067434, 95.7075
3, 118, 230, 86, 35, 4.21088278246, 3.2334902918, 98.385
3, 119, 179, 37, 91, 4.83041559229, 0.919647179713, inf
3, 120, 206, 86, 35, 4.60638341756, 4.85172367345, 92.9075
3, 121, 150, 86, 35, 4.07261575665, 1.83343826993, 94.1625
3, 122, 351, 56, 75, 2.13044968679, 4.85172367345, inf
3, 123, 304, 52, 37, 4.21088278246, 3.2334902918, 97.965
3, 124, 157, 52, 37, 4.21088278246, 3.2334902918, 94.3975
3, 125, 150, 86, 35, 4.07261575665, 1.83343826993, 94.375
3, 126, 304, 52, 37, 1.93698938354, 3.2334902918, 100.135
3, 127, 157, 29, 19, 4.60638341756, 2.0019961254, 95.5525
3, 128, 332, 52, 37, 4.21088278246, 3.2334902918, 100.255
3, 129, 304, 52, 37, 4.21088278246, 3.2334902918, 96.05
3, 130, 179, 37, 91, 4.83041559229, 0.919647179713, 97.26
3, 131, 304, 29, 19, 4.60638341756, 4.85172367345, inf
3, 132, 157, 29, 19, 4.60638341756, 3.2334902918, 95.2675
3, 133, 108, 21, 15, 4.60638341756, 2.39120777035, inf
3, 134, 206, 86, 35, 0.104286100839, 0.411426067434, 91.295
3, 135, 351, 56, 11, 4.21088278246, 3.2334902918, inf
3, 136, 206, 69, 61, 4.07261575665, 1.83343826993, 93.5675
3, 137, 157, 29, 19, 4.60638341756, 4.85172367345, 97.265
3, 138, 351, 5, 75, 4.2667990087, 3.05703932377, inf
3, 139, 304, 52, 43, 4.21088278246, 3.2334902918, 98.53
3, 140, 179, 81, 23, 1.89897051878, 0.541287299842, 91.41
3, 141, 179, 37, 91, 4.83041559229, 0.919647179713, 97.3725
3, 142, 304, 52, 75, 4.86759310203, 2.47458939196, 98.1725
3, 143, 169, 41, 61, 4.07261575665, 1.83343826993, 94.1275
3, 144, 242, 17, 87, 4.32415913655, 1.59607479264, 105.47
3, 145, 169, 86, 35, 0.104286100839, 0.411426067434, 91.165
3, 146, 304, 69, 61, 4.60638341756, 4.85172367345, inf
3, 147, 169, 30, 61, 0.104286100839, 0.411426067434, 98.135
3, 148, 253, 46, 3, 4.63261093361, 2.47458939196, 103.9825
3, 149, 304, 52, 37, 1.59639984991, 4.85172367345, 96.645
3, 150, 157, 29, 19, 4.21088278246, 3.2334902918, 95.6575
3, 151, 157, 29, 19, 0.104286100839, 0.411426067434, 96.8475
3, 152, 351, 56, 75, 4.86759310203, 2.47458939196, 103.6825
3, 153, 176, 42, 3, 4.73726200842, 0.670440986197, 100.17
3, 154, 304, 52, 37, 4.21088278246, 3.2334902918, 96.5775
3, 155, 169, 52, 35, 0.104286100839, 0.411426067434, 93.4825
3, 156, 150, 86, 35, 4.21088278246, 3.2334902918, 90.7675
4, 156, 150, 86, 35, 4.21088278246, 3.2334902918, 93.0825
4, 157, 304, 52, 37, 4.21088278246, 3.2334902918, 96.155
4, 158, 169, 41, 61, 4.07261575665, 3.2334902918, inf
4, 159, 206, 86, 35, 4.60638341756, 4.85172367345, 92.76
4, 160, 206, 69, 61, 4.07261575665, 1.83343826993, 94.3575
4, 161, 169, 86, 35, 4.83041559229, 1.19429850248, 91.31
4, 162, 150, 86, 35, 4.21088278246, 3.2334902918, 95.17
4, 163, 304, 52, 37, 4.21088278246, 3.2334902918, 96.6575
4, 164, 157, 29, 19, 4.60638341756, 3.2334902918, inf
4, 165, 150, 86, 35, 4.07261575665, 1.83343826993, inf
4, 166, 206, 86, 35, 0.104286100839, 0.411426067434, 91.18
4, 167, 179, 81, 23, 1.89897051878, 0.541287299842, 91.155
4, 168, 169, 41, 61, 4.07261575665, 4.85172367345, 94.355
4, 169, 230, 86, 35, 4.21088278246, 3.2334902918, 93.1875
4, 170, 150, 52, 35, 4.83041559229, 0.919647179713, 96.93
